station_id,station_name,lat,lon,first_trip,last_trip,geoid,trips_starting_here_2017,trips_ending_here_2017,total_trips_2017
254.0,W 11 St & 6 Ave,40.73532427,-73.99800419,2013-06-01,2019-07-31,36061006300,141183,143935,285118
252.0,MacDougal St & Washington Sq,40.73226398,-73.99852205,2013-06-01,2019-07-31,36061006300,141183,143935,285118
253.0,W 13 St & 5 Ave,40.73543934,-73.99453948,2013-06-01,2018-10-31,36061006300,141183,143935,285118
345.0,W 13 St & 6 Ave,40.73649403,-73.99704374,2013-06-01,2018-10-31,36061006300,141183,143935,285118
151.0,Cleveland Pl & Spring St,40.7218158,-73.99720307,2013-06-01,2019-07-31,36061004100,121704,118537,240241
263.0,Elizabeth St & Hester St,40.71729000000001,-73.996375,2013-06-01,2016-09-30,36061004100,121704,118537,240241
3435.0,Grand St & Elizabeth St,40.718821999999996,-73.99596,2016-09-01,2019-07-31,36061004100,121704,118537,240241
352.0,W 56 St & 6 Ave,40.76340613,-73.97722479,2013-06-01,2016-12-31,36061010400,39180,43987,83167
520.0,W 52 St & 5 Ave,40.75992262,-73.97648516,2013-06-01,2019-07-31,36061010400,39180,43987,83167
490.0,8 Ave & W 33 St,40.751551,-73.993934,2013-06-01,2019-07-31,36061010300,181434,172059,353493
521.0,8 Ave & W 31 St,40.75044999,-73.99481051,2013-06-01,2016-05-31,36061010300,181434,172059,353493
3255.0,8 Ave & W 31 St,40.7505853470215,-73.9946848154068,2016-05-01,2019-07-31,36061010300,181434,172059,353493
3230.0,Penn Station Valet,40.751283596962296,-73.99692445993422,2015-09-01,2017-02-28,36061010300,181434,172059,353493
3017.0,NYCBS Depot - FAR,40.751483,-73.996764,2013-06-01,2017-02-03,36061010300,181434,172059,353493
3450.0,Penn Station Valet - Valet Scan,40.7512836,-73.9969245,2017-02-23,2017-04-30,36061010300,181434,172059,353493
236.0,St Marks Pl & 2 Ave,40.7284186,-73.98713956,2013-06-01,2019-07-31,36061003800,125356,129286,254642
438.0,St Marks Pl & 1 Ave,40.72779126,-73.98564945,2013-06-01,2019-07-31,36061003800,125356,129286,254642
439.0,E 4 St & 2 Ave,40.726280700000004,-73.98978041,2013-06-01,2019-07-31,36061003800,125356,129286,254642
300.0,Shevchenko Pl & E 6 St,40.728145,-73.990214,2013-06-01,2016-08-29,36061003800,125356,129286,254642
351.0,Front St & Maiden Ln,40.70530954,-74.00612572,2013-06-01,2019-07-31,36061000700,159969,167929,327898
415.0,Pearl St & Hanover Square,40.7047177,-74.00926027,2013-06-01,2019-07-31,36061000700,159969,167929,327898
195.0,Liberty St & Broadway,40.70905623,-74.01043382,2013-06-01,2019-07-31,36061000700,159969,167929,327898
337.0,Old Slip & Front St,40.70379920000001,-74.00838676,2013-06-01,2019-07-31,36061000700,159969,167929,327898
315.0,South St & Gouverneur Ln,40.70355377,-74.00670227,2013-06-01,2019-07-31,36061000700,159969,167929,327898
360.0,William St & Pine St,40.70717936,-74.00887308,2013-06-01,2019-07-31,36061000700,159969,167929,327898
264.0,Maiden Ln & Pearl St,40.70706456,-74.00731853,2013-06-01,2019-07-31,36061000700,159969,167929,327898
2000.0,Front St & Washington St,40.70255088,-73.98940236,2013-06-01,2019-07-31,36047002100,82840,92772,175612
418.0,Front St & Gold St,40.70224,-73.982578,2013-06-01,2019-07-31,36047002100,82840,92772,175612
217.0,Old Fulton St,40.70277159,-73.99383605,2013-06-01,2019-07-31,36047002100,82840,92772,175612
430.0,York St & Jay St,40.7014851,-73.98656928,2013-06-01,2018-02-28,36047002100,82840,92772,175612
414.0,Pearl St & Anchorage Pl,40.70281858,-73.98765762,2013-06-01,2019-06-30,36047002100,82840,92772,175612
533.0,Broadway & W 39 St,40.75299641,-73.98721619,2013-06-01,2019-07-31,36061011300,224960,226033,450993
477.0,W 41 St & 8 Ave,40.75640548,-73.9900262,2013-06-01,2019-07-31,36061011300,224960,226033,450993
523.0,W 38 St & 8 Ave,40.75466591,-73.99138152,2013-06-01,2019-07-31,36061011300,224960,226033,450993
465.0,Broadway & W 41 St,40.75513557,-73.98658032,2013-06-01,2019-07-31,36061011300,224960,226033,450993
301.0,E 2 St & Avenue B,40.72217444,-73.98368779,2013-06-01,2019-07-31,36061003002,42051,42327,84378
421.0,Clermont Ave & Park Ave,40.69573398,-73.97129668,2013-06-01,2019-07-31,36047018700,24658,24316,48974
366.0,Clinton Ave & Myrtle Ave,40.693261,-73.968896,2013-06-01,2019-07-31,36047018700,24658,24316,48974
249.0,Harrison St & Hudson St,40.71870987,-74.0090009,2013-06-01,2019-07-31,36061003900,98697,99425,198122
328.0,Watts St & Greenwich St,40.72405549,-74.00965965,2013-06-01,2019-07-31,36061003900,98697,99425,198122
276.0,Duane St & Greenwich St,40.71748752,-74.0104554,2013-06-01,2019-07-31,36061003900,98697,99425,198122
329.0,Greenwich St & N Moore St,40.72043411,-74.01020609,2013-06-01,2016-09-30,36061003900,98697,99425,198122
3436.0,Greenwich St & Hubert St,40.721319,-74.010065,2016-09-01,2017-10-31,36061003900,98697,99425,198122
2002.0,Wythe Ave & Metropolitan Ave,40.716887,-73.96319799999998,2013-06-01,2019-07-31,36047055500,27163,29479,56642
466.0,W 25 St & 6 Ave,40.74395411,-73.99144871,2013-06-01,2019-07-31,36061005800,108191,106203,214394
444.0,Broadway & W 24 St,40.742354299999995,-73.98915076,2013-06-01,2017-10-31,36061005800,108191,106203,214394
3641.0,Broadway & W 25 St,40.74286877312112,-73.98918628692627,2017-10-01,2019-07-31,36061005800,108191,106203,214394
494.0,W 26 St & 8 Ave,40.74734825,-73.99723551,2013-06-01,2019-07-31,36061009700,123116,121877,244993
489.0,10 Ave & W 28 St,40.75066386,-74.00176802,2013-06-01,2019-07-31,36061009700,123116,121877,244993
512.0,W 29 St & 9 Ave,40.750072700000004,-73.99839279,2013-06-01,2016-02-29,36061009700,123116,121877,244993
3259.0,9 Ave & W 28 St,40.74937024193277,-73.99923384189607,2016-06-01,2019-07-31,36061009700,123116,121877,244993
3258.0,W 27 St & 10 Ave,40.75018156325681,-74.00218427181244,2016-07-01,2019-06-30,36061009700,123116,121877,244993
384.0,Fulton St & Waverly Ave,40.68317813,-73.9659641,2013-06-01,2017-09-30,36047019900,23670,22923,46593
275.0,Washington Ave & Greene Ave,40.68650065,-73.96563307,2013-06-01,2019-07-31,36047019900,23670,22923,46593
3637.0,Fulton St & Waverly Ave,40.68323865460341,-73.96599590778352,2017-09-01,2019-07-31,36047019900,23670,22923,46593
457.0,Broadway & W 58 St,40.76695317,-73.98169333,2013-06-01,2018-10-31,36061013700,121940,117083,239023
468.0,Broadway & W 55 St,40.7652654,-73.98192338,2013-06-01,2019-07-31,36061013700,121940,117083,239023
3458.0,W 55 St & 6 Ave,40.76309387270797,-73.97835016250609,2017-05-01,2019-05-31,36061013700,121940,117083,239023
290.0,2 Ave & E 58 St,40.76020258,-73.96478473,2013-06-01,2015-12-31,36061010800,31817,32614,64431
385.0,E 55 St & 2 Ave,40.75797322,-73.96603308,2013-06-01,2019-06-30,36061010800,31817,32614,64431
464.0,E 56 St & 3 Ave,40.75934501,-73.96759673,2013-06-01,2015-08-31,36061010800,31817,32614,64431
306.0,Cliff St & Fulton St,40.70823502,-74.00530063,2013-06-01,2018-08-31,36061001502,60250,61364,121614
376.0,John St & William St,40.70862144,-74.00722156,2013-06-01,2019-07-31,36061001502,60250,61364,121614
316.0,Fulton St & William St,40.70955958,-74.00653609,2013-06-01,2019-07-31,36061001502,60250,61364,121614
505.0,6 Ave & W 33 St,40.74901271,-73.98848395,2013-06-01,2019-07-31,36061010100,199041,197417,396458
379.0,W 31 St & 7 Ave,40.749156,-73.9916,2013-06-01,2019-07-31,36061010100,199041,197417,396458
492.0,W 33 St & 7 Ave,40.75019995,-73.99093085,2013-06-01,2019-07-31,36061010100,199041,197417,396458
334.0,W 20 St & 7 Ave,40.74238787,-73.99726235,2013-06-01,2019-07-31,36061008700,150585,154109,304694
435.0,W 21 St & 6 Ave,40.74173969,-73.99415556,2013-06-01,2019-07-31,36061008700,150585,154109,304694
382.0,University Pl & E 14 St,40.73492695,-73.99200509,2013-06-01,2019-07-31,36061006100,201694,208123,409817
285.0,Broadway & E 14 St,40.73454567,-73.99074142,2013-06-01,2019-07-31,36061006100,201694,208123,409817
280.0,E 10 St & 5 Ave,40.73331967,-73.99510132,2013-06-01,2019-07-31,36061006100,201694,208123,409817
357.0,E 11 St & Broadway,40.73261787,-73.99158043,2013-06-01,2019-04-30,36061006100,201694,208123,409817
496.0,E 16 St & 5 Ave,40.73726186,-73.99238967,2013-06-01,2019-07-31,36061005200,157515,164104,321619
497.0,E 17 St & Broadway,40.73704984,-73.99009296,2013-06-01,2019-07-31,36061005200,157515,164104,321619
297.0,E 15 St & 3 Ave,40.734232,-73.986923,2013-06-01,2019-07-31,36061005000,135701,135663,271364
475.0,E 16 St & Irving Pl,40.73524276,-73.98758561,2013-06-01,2017-02-28,36061005000,135701,135663,271364
503.0,E 20 St & Park Ave,40.73827428,-73.98751968,2013-06-01,2019-07-31,36061005000,135701,135663,271364
3463.0,E 16 St & Irving Pl,40.735367055605394,-73.98797392845155,2017-04-01,2019-07-31,36061005000,135701,135663,271364
367.0,E 53 St & Lexington Ave,40.75828065,-73.97069431,2013-06-01,2017-01-27,36061010000,82900,82286,165186
2023.0,E 55 St & Lexington Ave,40.75968085,-73.97031366,2013-06-01,2019-07-31,36061010000,82900,82286,165186
522.0,E 51 St & Lexington Ave,40.75714758,-73.97207836,2013-06-01,2019-07-31,36061010000,82900,82286,165186
3223.0,E 55 St & 3 Ave,40.758996559605116,-73.96865397691727,2015-08-01,2019-06-30,36061010000,82900,82286,165186
327.0,Vesey Pl & River Terrace,40.715337899999994,-74.01658354,2013-06-01,2019-07-31,36061031703,135504,143802,279306
426.0,West St & Chambers St,40.71754834,-74.01322069,2013-06-01,2019-07-31,36061031703,135504,143802,279306
224.0,Spruce St & Nassau St,40.71146364,-74.00552427,2013-06-01,2019-07-31,36061001501,8701,7950,16651
3489.0,Gold St & Frankfort St,40.710699946313866,-74.00354146957396,2017-08-01,2019-01-31,36061001501,8701,7950,16651
428.0,E 3 St & 1 Ave,40.72467721,-73.98783413,2013-06-01,2018-01-31,36061003602,70477,71362,141839
403.0,E 2 St & 2 Ave,40.72502876,-73.99069656,2013-06-01,2019-07-31,36061003602,70477,71362,141839
3265.0,E 2 St & 2 Ave,40.7245634290432,-73.9894437789917,2016-07-01,2017-03-29,36061003602,70477,71362,141839
2017.0,E 43 St & 2 Ave,40.75022392,-73.97121414,2013-07-01,2019-07-31,36061008800,27646,28310,55956
455.0,1 Ave & E 44 St,40.75001986,-73.96905301,2013-06-01,2019-07-31,36061008800,27646,28310,55956
510.0,W 51 St & 6 Ave,40.7606597,-73.98042047,2013-06-01,2016-08-29,36061013100,111550,112461,224011
469.0,Broadway & W 53 St,40.76344058,-73.98268129,2013-06-01,2019-07-31,36061013100,111550,112461,224011
500.0,Broadway & W 51 St,40.76228826,-73.98336183,2013-06-01,2019-07-31,36061013100,111550,112461,224011
3443.0,W 52 St & 6 Ave,40.76132983124814,-73.97982001304626,2017-01-01,2019-07-31,36061013100,111550,112461,224011
326.0,E 11 St & 1 Ave,40.72953837,-73.98426726,2013-06-01,2019-07-31,36061004000,91907,93530,185437
237.0,E 11 St & 2 Ave,40.73047309,-73.98672378,2013-06-01,2019-07-31,36061004000,91907,93530,185437
432.0,E 7 St & Avenue A,40.72621788,-73.98379855,2013-06-01,2019-07-31,36061003200,149882,158498,308380
445.0,E 10 St & Avenue A,40.72740794,-73.98142006,2013-06-01,2019-07-31,36061003200,149882,158498,308380
317.0,E 6 St & Avenue B,40.72453734,-73.98185424,2013-06-01,2019-07-31,36061003200,149882,158498,308380
319.0,Park Pl & Church St,40.71336124,-74.00937622,2013-06-01,2019-07-31,36061002100,145449,145735,291184
309.0,Murray St & West St,40.7149787,-74.013012,2013-06-01,2019-07-31,36061002100,145449,145735,291184
152.0,Warren St & Church St,40.71473993,-74.00910627,2013-06-01,2018-04-30,36061002100,145449,145735,291184
147.0,Greenwich St & Warren St,40.71542197,-74.01121978,2013-06-01,2017-05-31,36061002100,145449,145735,291184
417.0,Barclay St & Church St,40.71291224,-74.01020234,2013-06-01,2019-07-31,36061002100,145449,145735,291184
3461.0,Murray St & Greenwich St,40.71485150526252,-74.01122331619263,2017-05-01,2019-07-31,36061002100,145449,145735,291184
284.0,Greenwich Ave & 8 Ave,40.7390169121,-74.0026376103,2013-06-01,2019-07-31,36061007700,120939,123228,244167
3224.0,W 13 St & Hudson St,40.73997354103409,-74.00513872504234,2015-08-01,2018-05-31,36061007700,120939,123228,244167
168.0,W 18 St & 6 Ave,40.73971301,-73.99456405,2013-06-01,2019-07-31,36061005400,69827,72502,142329
509.0,9 Ave & W 22 St,40.7454973,-74.00197139,2013-06-01,2019-05-31,36061008900,145661,149557,295218
470.0,W 20 St & 8 Ave,40.74345335,-74.00004031,2013-06-01,2019-07-31,36061008900,145661,149557,295218
462.0,W 22 St & 10 Ave,40.74691959,-74.00451887,2013-06-01,2019-07-31,36061008900,145661,149557,295218
479.0,9 Ave & W 45 St,40.76019252,-73.9912551,2013-06-01,2019-07-31,36061012100,169166,161493,330659
2021.0,W 45 St & 8 Ave,40.75929124,-73.98859651,2013-06-01,2019-07-31,36061012100,169166,161493,330659
515.0,W 43 St & 10 Ave,40.76009437,-73.99461843,2013-06-01,2019-07-31,36061012100,169166,161493,330659
3236.0,W 42 St & Dyer Ave,40.75898481399634,-73.99379968643187,2015-11-01,2019-07-31,36061012100,169166,161493,330659
3240.0,NYCBS Depot BAL - DYR,40.759030082196055,-73.9938586950302,2016-12-01,2018-08-31,36061012100,169166,161493,330659
389.0,Broadway & Berry St,40.71044554,-73.96525063,2013-06-01,2019-07-31,36047054900,40207,41667,81874
460.0,S 4 St & Wythe Ave,40.71285887,-73.96590294,2013-06-01,2019-07-31,36047054900,40207,41667,81874
157.0,Henry St & Atlantic Ave,40.69089272,-73.99612349,2013-06-01,2019-07-31,36047000700,36418,37689,74107
143.0,Clinton St & Joralemon St,40.69239502,-73.99337909,2013-06-01,2019-07-31,36047000700,36418,37689,74107
402.0,Broadway & E 22 St,40.74034320000001,-73.98955109,2013-06-01,2019-07-31,36061005600,155957,166452,322409
491.0,E 24 St & Park Ave S,40.74096374,-73.98602213,2013-06-01,2019-07-31,36061005600,155957,166452,322409
247.0,Perry St & Bleecker St,40.73535398,-74.00483091,2013-06-01,2019-07-31,36061007300,66825,68320,135145
380.0,W 4 St & 7 Ave S,40.73401143,-74.00293877,2013-06-01,2019-07-31,36061007300,66825,68320,135145
396.0,Lefferts Pl & Franklin Ave,40.680342423,-73.9557689392,2013-06-01,2019-07-31,36047022700,25074,24504,49578
436.0,Hancock St & Bedford Ave,40.68216564,-73.95399026,2013-06-01,2019-07-31,36047022700,25074,24504,49578
365.0,Fulton St & Grand Ave,40.68223166,-73.9614583,2013-06-01,2019-07-31,36047022700,25074,24504,49578
387.0,Centre St & Chambers St,40.71273266,-74.0046073,2013-06-01,2019-07-31,36061003100,79464,76224,155688
386.0,Centre St & Worth St,40.71494807,-74.00234482,2013-06-01,2019-07-31,36061003100,79464,76224,155688
330.0,Reade St & Broadway,40.71450451,-74.00562789,2013-06-01,2019-07-31,36061003100,79464,76224,155688
116.0,W 17 St & 8 Ave,40.74177603,-74.00149746,2013-06-01,2019-07-31,36061008300,180253,181629,361882
212.0,W 16 St & The High Line,40.74334935,-74.00681753,2013-06-01,2019-07-31,36061008300,180253,181629,361882
434.0,9 Ave & W 18 St,40.74317449,-74.00366443,2013-06-01,2019-07-31,36061008300,180253,181629,361882
463.0,9 Ave & W 16 St,40.74206539,-74.00443172,2013-06-01,2016-05-31,36061008300,180253,181629,361882
3472.0,W 15 St & 10 Ave,40.742753828659026,-74.00747358798982,2017-06-01,2019-07-31,36061008300,180253,181629,361882
3428.0,8 Ave & W 16 St,40.740983,-74.00170200000002,2016-09-01,2017-11-30,36061008300,180253,181629,361882
501.0,FDR Drive & E 35 St,40.744219,-73.97121214,2013-06-01,2019-07-31,36061008601,35509,34989,70498
502.0,Henry St & Grand St,40.714215,-73.981346,2013-06-01,2019-07-31,36061000202,57762,58323,116085
291.0,Madison St & Montgomery St,40.713126,-73.984844,2013-06-01,2019-07-31,36061000202,57762,58323,116085
332.0,Cherry St,40.71219906,-73.97948148,2013-06-01,2019-07-31,36061000202,57762,58323,116085
405.0,Washington St & Gansevoort St,40.739323,-74.008119,2013-06-01,2019-07-31,36061007900,102397,104708,207105
346.0,Bank St & Hudson St,40.73652889,-74.00618026,2013-06-01,2019-07-31,36061007900,102397,104708,207105
225.0,W 14 St & The High Line,40.74195138,-74.00803013,2013-06-01,2017-05-31,36061007900,102397,104708,207105
404.0,9 Ave & W 14 St,40.7405826,-74.00550867,2013-06-01,2015-08-31,36061007900,102397,104708,207105
238.0,Bank St & Washington St,40.7361967,-74.00859207,2013-06-01,2019-07-31,36061007900,102397,104708,207105
449.0,W 52 St & 9 Ave,40.76461837,-73.98789473,2013-06-01,2018-03-31,36061013300,87204,85683,172887
423.0,W 54 St & 9 Ave,40.76584941,-73.98690506,2013-06-01,2019-07-31,36061013300,87204,85683,172887
447.0,8 Ave & W 52 St,40.76370739,-73.9851615,2013-06-01,2019-07-31,36061013300,87204,85683,172887
504.0,1 Ave & E 15 St,40.73221853,-73.98165557,2013-06-01,2019-07-31,36061004400,178200,171512,349712
2003.0,1 Ave & E 18 St,40.73416059,-73.98024289,2013-06-01,2019-07-31,36061004400,178200,171512,349712
511.0,E 14 St & Avenue B,40.72938685,-73.97772429,2013-06-01,2017-07-31,36061004400,178200,171512,349712
487.0,E 20 St & FDR Drive,40.73314259,-73.97573881,2013-06-01,2019-07-31,36061004400,178200,171512,349712
3219.0,NYCBS Depot - STY,40.729193,-73.97665500000002,2016-07-01,2017-05-31,36061004400,178200,171512,349712
3468.0,NYCBS Depot - STY - Garage 4,40.73038010000001,-73.9747502,2017-05-01,2018-07-31,36061004400,178200,171512,349712
525.0,W 34 St & 11 Ave,40.75594159,-74.0021163,2013-06-01,2019-07-31,36061009900,228036,236447,464483
448.0,W 37 St & 10 Ave,40.75660359,-73.9979009,2013-06-01,2019-07-31,36061009900,228036,236447,464483
459.0,W 20 St & 11 Ave,40.746745000000004,-74.007756,2013-06-01,2019-07-31,36061009900,228036,236447,464483
458.0,11 Ave & W 27 St,40.751396,-74.00522600000002,2013-06-01,2019-07-31,36061009900,228036,236447,464483
388.0,W 26 St & 10 Ave,40.749717753,-74.002950346,2013-06-01,2019-07-31,36061009900,228036,236447,464483
3441.0,10 Hudson Yards,40.752957,-74.00264,2017-03-01,2019-07-31,36061009900,228036,236447,464483
260.0,Broad St & Bridge St,40.70365182,-74.01167797,2013-06-01,2019-07-31,36061000900,65201,70214,135415
259.0,South St & Whitehall St,40.70122128,-74.01234218,2013-06-01,2019-07-31,36061000900,65201,70214,135415
427.0,State St,40.70251526,-74.01427023,2013-06-01,2019-07-31,36061000900,65201,70214,135415
534.0,Water - Whitehall Plaza,40.70255065,-74.0127234,2013-06-01,2019-07-31,36061000900,65201,70214,135415
369.0,Washington Pl & 6 Ave,40.73224119,-74.00026394,2013-06-01,2019-07-31,36061006500,120216,124582,244798
161.0,LaGuardia Pl & W 3 St,40.72917025,-73.99810231,2013-06-01,2019-07-31,36061006500,120216,124582,244798
336.0,Sullivan St & Washington Sq,40.73047747,-73.99906065,2013-06-01,2019-07-31,36061006500,120216,124582,244798
517.0,Pershing Square S,40.75149263,-73.97798848,2013-06-01,2019-07-31,36061008000,266800,262553,529353
519.0,Pershing Square N,40.75188406,-73.97770164,2013-06-01,2019-07-31,36061008000,266800,262553,529353
167.0,E 39 St & 3 Ave,40.7489006,-73.97604882,2013-06-01,2019-07-31,36061008000,266800,262553,529353
160.0,E 37 St & Lexington Ave,40.748238,-73.978311,2013-06-01,2016-09-30,36061008000,266800,262553,529353
3431.0,E 35 St & 3 Ave,40.746524,-73.977885,2016-09-01,2019-02-28,36061008000,266800,262553,529353
410.0,Suffolk St & Stanton St,40.72066442,-73.98517977,2013-06-01,2019-07-31,36061003001,42370,42416,84786
312.0,Allen St & E Houston St,40.722055,-73.989111,2013-06-01,2019-07-31,36061003601,82674,84214,166888
265.0,Stanton St & Chrystie St,40.72229346,-73.99147535,2013-06-01,2019-07-31,36061003601,82674,84214,166888
342.0,Columbia St & Rivington St,40.71739973,-73.98016555,2013-06-01,2019-07-31,36061002201,25538,25596,51134
400.0,Pitt St & Stanton St,40.71926081,-73.98178024,2013-06-01,2019-07-31,36061002201,25538,25596,51134
347.0,W Houston St & Hudson St,40.72873888,-74.00748842,2013-06-01,2019-07-31,36061003700,176228,180786,357014
128.0,MacDougal St & Prince St,40.72710258,-74.00297088,2013-06-01,2019-07-31,36061003700,176228,180786,357014
2004.0,6 Ave & Broome St,40.724399,-74.004704,2013-06-01,2017-03-29,36061003700,176228,180786,357014
377.0,6 Ave & Canal St,40.72243797,-74.00566443,2013-06-01,2019-07-31,36061003700,176228,180786,357014
3256.0,Pier 40 - Hudson River Park,40.7277140777778,-74.01129573583603,2016-06-01,2019-07-31,36061003700,176228,180786,357014
540.0,Lexington Ave & E 26 St,40.74147286,-73.98320928,2013-06-01,2019-07-31,36061006800,103512,104613,208125
537.0,Lexington Ave & E 24 St,40.74025878,-73.98409214,2013-06-01,2018-10-31,36061006800,103512,104613,208125
453.0,W 22 St & 8 Ave,40.74475148,-73.99915362,2013-06-01,2019-07-31,36061009300,48635,50082,98717
467.0,Dean St & 4 Ave,40.68312489,-73.97895137,2013-06-01,2019-07-31,36047012901,28480,29863,58343
